text,classification
لم يتم إرسال الفاتورة لهذا الشهر.,الفواتير
لا أستطيع الاتصال بخدمة الإنترنت منذ يومين.,الدعم الفني
ما هي المواصفات التقنية لهذا الجهاز؟,استفسار عن المنتج
الخدمة كانت سيئة للغاية في المتجر.,شكوى
لماذا توجد رسوم إضافية على فاتورتي؟,الفواتير
جهاز التلفاز يعرض شاشة سوداء فقط.,الدعم الفني
هل يأتي المنتج مع ضمان؟,استفسار عن المنتج
لم يتم الرد على استفساري من قبل الدعم.,شكوى
كيف يمكنني استلام فاتورة إلكترونية؟,الفواتير
التطبيق يتوقف عن العمل بشكل متكرر.,الدعم الفني
ما هي سياسة الإرجاع لهذا المنتج؟,استفسار عن المنتج
الطرد وصل متأخرًا جدًا.,شكوى
لماذا تم فرض رسوم إلغاء عالية جدًا؟,شكوى
كيف يمكنني إعادة ضبط كلمة المرور؟,الدعم الفني
هل يتوفر المنتج بألوان مختلفة؟,استفسار عن المنتج
المنتج الذي وصلني يختلف عن الصورة الموجودة في الموقع.,شكوى
الإنترنت بطيء جدًا رغم أنني دفعت لترقية الخدمة.,شكوى
كيف يمكنني تتبع شحنتي؟,استفسار عن المنتج
لماذا لم يتم توصيل الطلبية في الموعد المحدد؟,شكوى
التطبيق لا يقبل طريقة الدفع الخاصة بي.,الدعم الفني
البطارية لا تعمل بشكل جيد بعد يومين من الاستخدام.,شكوى
أحتاج إلى مساعدة في تحديث الجهاز.,الدعم الفني
لماذا لم يتم إضافة النقاط إلى حساب المكافآت الخاص بي؟,استفسار عن المنتج
الحجز تم إلغاؤه دون إشعار مسبق.,شكوى
كيف أستطيع تغيير عنوان التوصيل؟,استفسار عن المنتج
المنتج به خدوش عند استلامه.,شكوى
لماذا لم يتم خصم المبلغ من بطاقة الائتمان؟,استفسار عن المنتج
خدمة العملاء لم تكن مفيدة على الإطلاق.,شكوى
أريد معرفة حالة الطلب الخاص بي.,استفسار عن المنتج
لماذا توجد مشكلة في تسجيل الدخول إلى حسابي؟,الدعم الفني
أحتاج إلى دليل الاستخدام للمنتج.,استفسار عن المنتج
لماذا تم إضافة رسوم شحن رغم أن العرض كان مجانيًا؟,شكوى
لا أستطيع مشاهدة القنوات التي اشتركت فيها.,شكوى
المنتج الذي طلبته غير متوفر الآن.,استفسار عن المنتج
الجهاز يتوقف عن العمل فجأة.,شكوى
خدمة التوصيل تأخرت كثيرًا.,شكوى
أحتاج إلى فاتورة ضريبية للطلب.,الفواتير
لماذا يظهر خطأ عند محاولة الدفع؟,الدعم الفني
المنتج الذي استلمته لا يعمل كما هو موضح.,شكوى
أحتاج إلى المساعدة في استرجاع المنتج.,الدعم الفني
كيف يمكنني إلغاء الطلب قبل الشحن؟,استفسار عن المنتج
الاشتراك تم تجديده دون إذني.,شكوى
التطبيق يرفض تسجيل الدخول رغم إدخال كلمة المرور الصحيحة.,الدعم الفني
لماذا لم يتم تفعيل العرض الترويجي؟,شكوى
كيف يمكنني إلغاء الاشتراك الشهري؟,استفسار عن المنتج
تم إرسال طلب خاطئ بدلاً من الطلب الذي طلبته.,شكوى
أحتاج إلى مساعدة في استبدال المنتج.,الدعم الفني
لماذا لا أستطيع الوصول إلى خدمة البث المباشر؟,الدعم الفني
يوجد خلل في خاصية معينة في التطبيق.,الدعم الفني
المنتج يحتوي على أجزاء ناقصة.,شكوى
